ageDifference,weightDifference,heightDifference,ref,round,weightClass,method
11,40,5,Helio Vigio,1,Middleweight,Submission
,5,3,Joao Alberto Barreto,1,Light Heavyweight,Submission
2,36,1,Helio Vigio,1,Middleweight,Submission
7,49,1,Joao Alberto Barreto,1,Heavyweight,TKO
1,13,1,Helio Vigio,1,Heavyweight,Submission
3,20,1,Joao Alberto Barreto,1,Middleweight,Submission
4,35,2,Helio Vigio,1,Heavyweight,TKO
14,199,3,Joao Alberto Barreto,1,Heavyweight,TKO
3,49,2,John McCarthy,1,Middleweight,Submission
,74,2,John McCarthy,1,Middleweight,Submission
,15,2,John McCarthy,1,Heavyweight,Submission
3,14,1,John McCarthy,1,Middleweight,Submission
,80,4,John McCarthy,1,Heavyweight,KO
,30,0,John McCarthy,1,Heavyweight,Submission
,15,2,John McCarthy,1,Heavyweight,KO
,2,5,John McCarthy,1,Middleweight,Submission
,20,1,John McCarthy,1,Light Heavyweight,Submission
,19,6,John McCarthy,1,Heavyweight,Submission
,75,4,John McCarthy,1,Welterweight,TKO
,45,1,John McCarthy,1,Heavyweight,TKO
,80,5,John McCarthy,1,Heavyweight,Submission
,,,John McCarthy,1,Heavyweight,Submission
,20,2,John McCarthy,1,Heavyweight,Submission
,25,4,John McCarthy,1,Heavyweight,Submission
,8,2,John McCarthy,1,Heavyweight,Submission
2,59,3,John McCarthy,1,Middleweight,Submission
,35,5,John McCarthy,1,Heavyweight,KO
2,12,1,John McCarthy,1,Heavyweight,Submission
6,400,9,John McCarthy,1,Light Heavyweight,TKO
8,77,2,John McCarthy,1,Middleweight,Submission
5,30,0,John McCarthy,1,Light Heavyweight,TKO
,33,1,John McCarthy,1,Heavyweight,Submission
8,24,1,John McCarthy,1,Middleweight,Submission
11,83,4,John McCarthy,1,Heavyweight,Submission
,10,2,John McCarthy,1,Heavyweight,Submission
12,36,7,John McCarthy,1,Light Heavyweight,Submission
,14,2,John McCarthy,1,Middleweight,Submission
,40,2,John McCarthy,1,Heavyweight,KO
4,5,3,John McCarthy,1,Heavyweight,Submission
10,3,0,John McCarthy,1,Heavyweight,Submission
2,36,1,John McCarthy,1,Heavyweight,Draw
9,43,2,John McCarthy,1,Heavyweight,TKO
2,45,4,John McCarthy,1,Heavyweight,TKO
0,7,1,John McCarthy,1,Heavyweight,Submission
