@relation refinedData-weka.filters.unsupervised.instance.RemovePercentage-P50.0

@attribute ageDifference numeric
@attribute weightDifference numeric
@attribute heightDifference numeric
@attribute ref {'Helio Vigio','Joao Alberto Barreto','John McCarthy',N/A,'Joe Hamilton','Mason White','Larry Landless','Herb Dean','Cecil Peoples','Steve Mazzagatti','Jon Schorle','Mario Yamasaki','Yves Lavigne','Troy Waugh','Jorge Alonso','Marco Lopez','Mark Matheny','Kerry Hatley','Dan Miragliotta','Kevin Mulhall','Josh Rosenthal','Jerry Krzys','Adam Martinez','Tim Mills','Philippe Chartier','Daryl Guthmiller','Nick Gamst','Josh Arney','Mark Powell','Jim Axtel','Marc Goddard','Leon Roberts','David Smith','Todd Frederickson','Marc Fennell','Mike Reid','Al Coley','Donnie Jessup','Jorge Ortiz','Rick Fike','Kim Winslow','Keith Peterson','Dave Hagen','Dave Hagan','Shawn Gregory','Kevin Nix','Tom Jones','Gary Ritter','Don Turnage','Jason Herzog','Greg Franklin','John Sharp','Steve Perceval','Tom Johnson','Dale Frye','Bill Clancy','Phillipe Chatrier','Marc-Andre Cote','Kevin Dornan','Tony Williamson','Marcos Rosales','Rob Hinds','Jeff Malott','Marc Fennel','Chris Tognoni','Gary Copeland','Chris Kinman','Kevin MacDonald','Anthony Hamlett','Jerin Valel','Chip Snider','Myron Gaudet','Fernando Yamasaki','Jacob Montalvo','Dan Stell','Jason McCoy','Robert Madrigal','Jim Axtell','Bo Nesslein','Kristian Hacklou','Marko Gyllenland','Robert Sundel','Blake Grice','Will Fisher','Todd McGovern','Rick McCoy','Chris Adams','Frank Gentile','Gasper Oliver','Luis Cobian','Steve Newport','Neil Hall','Thomas Fan','Mike Beltran','Adam Cheadle','Randy Corley','Al Wichgers','Todd Anderson','Jay Stafin','Cameron Quinn','George Allen','Rob Madrigal','Otto Torriero','Osiris Maia','Grant Waterman','Wernei Cardoso','Jorge Alsonso','Mark Smith','Wolf Menninger','Raul Porrata','Frank Collazo','Peter Hickmott','Vitor Ribeiro','Liam Kerrigan','Steven Davis','Cyril Desjardins','Brad Jardine','Bobby Rehman','Eduardo Herdy','Al Guinee','Gary Forman','Bryan Miner','Kevin Sataki','Don Thais','Camila Albuquerque','Mike King','Lukasz Bosacki','Marco Goddard','Greg Kleynjans','Terry Hill','Gabe Barahona','Jordan Bass','Robbie Scheuermann','James Warring','Josh Ward','David Ferguson','Neil Swailes','Joe Solis','Piotr Michalak','John Hosegood','Steve Rita','Bill Bookwalter','James Chappell'}
@attribute round numeric
@attribute weightClass {Middleweight,'Light Heavyweight',Heavyweight,Welterweight,'Super Heavyweight',N/A,Lightweight,Bantamweight,Featherweight,Flyweight,Strawweight,Atomweight}
@attribute method {Submission,TKO,KO,Draw,Decision,DQ,NC,No}

@data
5,0,1,'Herb Dean',1,Featherweight,KO
2,0,1,'Yves Lavigne',1,'Light Heavyweight',KO
3,20,4,'John McCarthy',1,Middleweight,KO
10,26,1,'Josh Rosenthal',1,Middleweight,Submission
5,1,5,'Yves Lavigne',3,Bantamweight,Decision
3,10,1,'Herb Dean',3,Lightweight,Decision
7,0,2,'Josh Rosenthal',2,Welterweight,TKO
2,1,1,'John McCarthy',2,Lightweight,TKO
3,7,2,'Mario Yamasaki',1,Heavyweight,TKO
2,0,1,'Herb Dean',3,Lightweight,Decision
5,13,3,'Steve Mazzagatti',1,Welterweight,KO
16,0,3,'Yves Lavigne',1,'Light Heavyweight',TKO
4,4,3,'Herb Dean',3,Featherweight,Decision
3,10,1,'Mario Yamasaki',3,Lightweight,Decision
1,0,3,'Steve Mazzagatti',3,Lightweight,Decision
5,0,0,'Yves Lavigne',3,Welterweight,Decision
6,15,0,'Herb Dean',3,Welterweight,Decision
1,10,1,'Steve Mazzagatti',3,Featherweight,Decision
1,0,1,'Mario Yamasaki',1,Featherweight,KO
7,20,2,'Dan Miragliotta',1,Middleweight,Submission
2,15,6,'Leon Roberts',1,Welterweight,Submission
3,15,1,'Mario Yamasaki',1,Lightweight,DQ
0,0,2,'Dan Miragliotta',3,Lightweight,KO
0,10,2,'Mario Yamasaki',3,Featherweight,Decision
5,53,3,'Dan Miragliotta',1,Heavyweight,Submission
5,9,3,'Leon Roberts',3,Bantamweight,Decision
5,0,3,'Mario Yamasaki',1,Welterweight,TKO
9,10,0,'Leon Roberts',3,Bantamweight,Decision
0,0,1,'Herb Dean',1,Lightweight,Submission
5,0,1,'Josh Rosenthal',1,Welterweight,TKO
4,0,2,'Mario Yamasaki',3,Bantamweight,Decision
7,24,7,'Herb Dean',1,Heavyweight,KO
5,0,2,'Herb Dean',2,Middleweight,TKO
11,0,2,'Mario Yamasaki',3,Lightweight,Submission
1,15,0,'Herb Dean',3,Lightweight,Decision
8,10,0,'Josh Rosenthal',1,Lightweight,Submission
3,10,1,'Mario Yamasaki',1,Lightweight,Submission
3,0,0,'Josh Rosenthal',1,Bantamweight,KO
5,0,3,'Herb Dean',5,'Light Heavyweight',Decision
2,20,1,'John McCarthy',3,'Light Heavyweight',Decision
7,15,2,'Herb Dean',3,Middleweight,Decision
3,10,2,'John McCarthy',2,Lightweight,TKO
1,5,5,'Herb Dean',3,Heavyweight,Decision
2,10,6,'John McCarthy',2,Featherweight,TKO
5,15,3,'John McCarthy',1,Featherweight,Submission
7,0,0,'Herb Dean',3,Lightweight,Decision
4,68,2,'Robert Madrigal',1,Heavyweight,KO
2,0,1,N/A,3,Middleweight,Submission
1,0,0,'Steve Mazzagatti',5,Welterweight,Decision
1,7,4,'Josh Rosenthal',3,Heavyweight,Decision
3,0,2,'Herb Dean',3,Welterweight,Decision
5,0,2,'Kim Winslow',3,Bantamweight,Decision
1,20,4,'Josh Rosenthal',2,'Light Heavyweight',Submission
2,10,2,'Steve Mazzagatti',1,Lightweight,Submission
4,0,2,'Herb Dean',3,Bantamweight,Decision
2,0,0,'Kim Winslow',2,Welterweight,TKO
3,15,6,'Herb Dean',3,Welterweight,Decision
7,7,0,'Steve Mazzagatti',3,Middleweight,Decision
3,9,1,'Josh Rosenthal',1,Welterweight,KO
4,15,1,'Dan Miragliotta',3,Welterweight,Decision
4,42,8,'Josh Rosenthal',2,Heavyweight,TKO
14,20,1,'Jim Axtell',3,'Light Heavyweight',Decision
4,3,0,'Dan Miragliotta',1,Heavyweight,KO
2,1,5,'Dan Miragliotta',3,Bantamweight,Decision
4,2,3,'Jim Axtell',1,Bantamweight,Submission
3,20,1,'Dan Miragliotta',1,Bantamweight,KO
2,0,1,'Mark Powell',3,Lightweight,Decision
3,15,5,'Bo Nesslein',3,Welterweight,Decision
2,10,3,'Marc Goddard',5,Lightweight,Decision
5,1,1,'Leon Roberts',3,'Light Heavyweight',Decision
1,28,6,'Herb Dean',1,Heavyweight,TKO
4,0,2,'Marc Goddard',3,Welterweight,Decision
0,20,3,'Leon Roberts',3,'Light Heavyweight',TKO
0,0,2,'Herb Dean',3,Featherweight,Decision
3,0,0,'Marc Goddard',1,Lightweight,KO
2,10,1,'Leon Roberts',2,Lightweight,TKO
5,0,1,'Herb Dean',1,Bantamweight,Submission
5,0,2,'Marc Goddard',3,Middleweight,Decision
2,10,4,'Leon Roberts',3,Flyweight,Decision
6,0,4,'Herb Dean',2,Featherweight,KO
1,0,2,'Herb Dean',3,Welterweight,Submission
8,0,1,'Steve Perceval',2,Flyweight,TKO
2,0,2,'Leon Roberts',3,Flyweight,Draw
