@relation refinedData-weka.filters.unsupervised.instance.RemovePercentage-P50.0-V

@attribute ageDifference numeric
@attribute weightDifference numeric
@attribute heightDifference numeric
@attribute ref {'Helio Vigio','Joao Alberto Barreto','John McCarthy',N/A,'Joe Hamilton','Mason White','Larry Landless','Herb Dean','Cecil Peoples','Steve Mazzagatti','Jon Schorle','Mario Yamasaki','Yves Lavigne','Troy Waugh','Jorge Alonso','Marco Lopez','Mark Matheny','Kerry Hatley','Dan Miragliotta','Kevin Mulhall','Josh Rosenthal','Jerry Krzys','Adam Martinez','Tim Mills','Philippe Chartier','Daryl Guthmiller','Nick Gamst','Josh Arney','Mark Powell','Jim Axtel','Marc Goddard','Leon Roberts','David Smith','Todd Frederickson','Marc Fennell','Mike Reid','Al Coley','Donnie Jessup','Jorge Ortiz','Rick Fike','Kim Winslow','Keith Peterson','Dave Hagen','Dave Hagan','Shawn Gregory','Kevin Nix','Tom Jones','Gary Ritter','Don Turnage','Jason Herzog','Greg Franklin','John Sharp','Steve Perceval','Tom Johnson','Dale Frye','Bill Clancy','Phillipe Chatrier','Marc-Andre Cote','Kevin Dornan','Tony Williamson','Marcos Rosales','Rob Hinds','Jeff Malott','Marc Fennel','Chris Tognoni','Gary Copeland','Chris Kinman','Kevin MacDonald','Anthony Hamlett','Jerin Valel','Chip Snider','Myron Gaudet','Fernando Yamasaki','Jacob Montalvo','Dan Stell','Jason McCoy','Robert Madrigal','Jim Axtell','Bo Nesslein','Kristian Hacklou','Marko Gyllenland','Robert Sundel','Blake Grice','Will Fisher','Todd McGovern','Rick McCoy','Chris Adams','Frank Gentile','Gasper Oliver','Luis Cobian','Steve Newport','Neil Hall','Thomas Fan','Mike Beltran','Adam Cheadle','Randy Corley','Al Wichgers','Todd Anderson','Jay Stafin','Cameron Quinn','George Allen','Rob Madrigal','Otto Torriero','Osiris Maia','Grant Waterman','Wernei Cardoso','Jorge Alsonso','Mark Smith','Wolf Menninger','Raul Porrata','Frank Collazo','Peter Hickmott','Vitor Ribeiro','Liam Kerrigan','Steven Davis','Cyril Desjardins','Brad Jardine','Bobby Rehman','Eduardo Herdy','Al Guinee','Gary Forman','Bryan Miner','Kevin Sataki','Don Thais','Camila Albuquerque','Mike King','Lukasz Bosacki','Marco Goddard','Greg Kleynjans','Terry Hill','Gabe Barahona','Jordan Bass','Robbie Scheuermann','James Warring','Josh Ward','David Ferguson','Neil Swailes','Joe Solis','Piotr Michalak','John Hosegood','Steve Rita','Bill Bookwalter','James Chappell'}
@attribute round numeric
@attribute weightClass {Middleweight,'Light Heavyweight',Heavyweight,Welterweight,'Super Heavyweight',N/A,Lightweight,Bantamweight,Featherweight,Flyweight,Strawweight,Atomweight}
@attribute method {Submission,TKO,KO,Draw,Decision,DQ,NC,No}

@data
11,40,5,'Helio Vigio',1,Middleweight,Submission
?,5,3,'Joao Alberto Barreto',1,'Light Heavyweight',Submission
2,36,1,'Helio Vigio',1,Middleweight,Submission
7,49,1,'Joao Alberto Barreto',1,Heavyweight,TKO
1,13,1,'Helio Vigio',1,Heavyweight,Submission
3,20,1,'Joao Alberto Barreto',1,Middleweight,Submission
4,35,2,'Helio Vigio',1,Heavyweight,TKO
14,199,3,'Joao Alberto Barreto',1,Heavyweight,TKO
3,49,2,'John McCarthy',1,Middleweight,Submission
?,74,2,'John McCarthy',1,Middleweight,Submission
?,15,2,'John McCarthy',1,Heavyweight,Submission
3,14,1,'John McCarthy',1,Middleweight,Submission
?,80,4,'John McCarthy',1,Heavyweight,KO
?,30,0,'John McCarthy',1,Heavyweight,Submission
?,15,2,'John McCarthy',1,Heavyweight,KO
?,2,5,'John McCarthy',1,Middleweight,Submission
?,20,1,'John McCarthy',1,'Light Heavyweight',Submission
?,19,6,'John McCarthy',1,Heavyweight,Submission
?,75,4,'John McCarthy',1,Welterweight,TKO
?,45,1,'John McCarthy',1,Heavyweight,TKO
?,80,5,'John McCarthy',1,Heavyweight,Submission
?,?,?,'John McCarthy',1,Heavyweight,Submission
?,20,2,'John McCarthy',1,Heavyweight,Submission
?,25,4,'John McCarthy',1,Heavyweight,Submission
?,8,2,'John McCarthy',1,Heavyweight,Submission
2,59,3,'John McCarthy',1,Middleweight,Submission
?,35,5,'John McCarthy',1,Heavyweight,KO
2,12,1,'John McCarthy',1,Heavyweight,Submission
6,400,9,'John McCarthy',1,'Light Heavyweight',TKO
8,77,2,'John McCarthy',1,Middleweight,Submission
5,30,0,'John McCarthy',1,'Light Heavyweight',TKO
?,33,1,'John McCarthy',1,Heavyweight,Submission
8,24,1,'John McCarthy',1,Middleweight,Submission
11,83,4,'John McCarthy',1,Heavyweight,Submission
?,10,2,'John McCarthy',1,Heavyweight,Submission
12,36,7,'John McCarthy',1,'Light Heavyweight',Submission
?,14,2,'John McCarthy',1,Middleweight,Submission
?,40,2,'John McCarthy',1,Heavyweight,KO
4,5,3,'John McCarthy',1,Heavyweight,Submission
10,3,0,'John McCarthy',1,Heavyweight,Submission
2,36,1,'John McCarthy',1,Heavyweight,Draw
9,43,2,'John McCarthy',1,Heavyweight,TKO
2,45,4,'John McCarthy',1,Heavyweight,TKO
0,7,1,'John McCarthy',1,Heavyweight,Submission
?,9,2,'John McCarthy',1,Heavyweight,Submission
?,43,4,'John McCarthy',1,'Light Heavyweight',TKO
?,55,10,'John McCarthy',1,'Super Heavyweight',TKO
?,?,?,'John McCarthy',1,'Light Heavyweight',TKO
?,?,?,'John McCarthy',1,Heavyweight,TKO
2,40,0,'John McCarthy',1,Heavyweight,Submission
